DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO_Codes,Victim Age,Victim Sex,Victim_Descent,Premise Code,Premise Description,Address,Cross Street,Lat,Long,Latitude,Longitude
190617851,8/24/19,8/24/19,1115,6,Hollywood,615,997,TRAFFIC COLLISION,Veh vs Bike,52,M,White,101,STREET,BARHAM                       BL,WINNIE                       DR,34.1347,-118.3427,34.1347,-118.3427
190715500,8/22/19,8/21/19,2230,7,Wilshire,727,997,TRAFFIC COLLISION,Veh vs Bike,24,F,Hispanic/Latin/Mexican,101,STREET,BEVERLY                      BL,LA BREA                      AV,34.0762,-118.3441,34.0762,-118.3441
190715796,8/27/19,8/27/19,1420,7,Wilshire,745,997,TRAFFIC COLLISION,Veh vs Bike,46,M,Other,101,STREET,LA BREA                      AV,SYCAMORE                     AV,34.0562,-118.3449,34.0562,-118.3449
190814721,8/22/19,8/22/19,1730,8,West LA,842,997,TRAFFIC COLLISION,Veh vs Bike,32,M,White,101,STREET,SANTA MONICA                 BL,BARRINGTON                   AV,34.0465,-118.4588,34.0465,-118.4588
190814726,8/20/19,8/20/19,825,8,West LA,851,997,TRAFFIC COLLISION,Veh vs Bike,24,M,Other Asian,101,STREET,BROCKTON                     AV,SANTA MONICA                 BL,34.0398,-118.4598,34.0398,-118.4598
190915969,8/28/19,8/28/19,725,9,Van Nuys,948,997,TRAFFIC COLLISION,Veh vs Bike,18,M,Other,101,STREET,FULTON,BURBANK,34.1722,-118.4225,34.1722,-118.4225
191014019,8/24/19,8/24/19,2100,10,West Valley,1012,997,TRAFFIC COLLISION,Veh vs Bike,17,M,Hispanic/Latin/Mexican,101,STREET,RESEDA,SATICOY,34.2084,-118.536,34.2084,-118.536
191014177,8/28/19,8/27/19,1200,10,West Valley,1023,997,TRAFFIC COLLISION,Veh vs Bike,38,M,Hispanic/Latin/Mexican,101,STREET,SHERMAN                      WY,TAMPA                        AV,34.2012,-118.5535,34.2012,-118.5535
191418572,8/22/19,8/20/19,845,14,Pacific,1494,997,TRAFFIC COLLISION,Veh vs Bike,21,M,Hispanic/Latin/Mexican,101,STREET,WESTCHESTER                  PY,FALMOUTH                     AV,33.942,-118.4095,33.942,-118.4095
191418735,8/25/19,8/25/19,1242,14,Pacific,1434,997,TRAFFIC COLLISION,Veh vs Bike,23,M,Hispanic/Latin/Mexican,101,STREET,VENICE                       BL,WASATCH                      AV,34.0033,-118.4354,34.0033,-118.4354
